Year,Season,FF-HadRM3-Q0_afgcx,FF-HadRM3-Q3_afixa,FF-HadRM3-Q4_afixc,FF-HadRM3-Q6_afixh,FF-HadRM3-Q9_afixi,FF-HadRM3-Q8_afixj,FF-HadRM3-Q10_afixk,FF-HadRM3-Q14_afixl,FF-HadRM3-Q11_afixm,FF-HadRM3-Q13_afixo,FF-HadRM3-Q16_afixq
2000,DJF,80.91443333333333,73.53633333333333,78.5969,77.3781,77.49376666666667,78.96873333333333,76.70496666666666,74.81173333333334,78.5009,78.09883333333333,78.08173333333333
2000,MAM,84.87656666666666,74.60643333333333,82.95280000000001,81.3535,82.53073333333333,80.33696666666667,78.24496666666666,76.85603333333334,83.2457,82.46973333333334,80.86880000000001
2000,JJA,82.01530000000001,73.5357,81.98819999999999,80.16393333333333,81.6993,79.06766666666665,77.1011,78.42293333333333,83.35940000000001,82.29910000000001,80.82
2000,SON,81.51253333333334,72.26153333333333,79.3381,78.02793333333334,79.16526666666668,78.30336666666666,75.40063333333333,76.89829999999999,80.2074,79.55083333333333,78.49673333333334
2001,DJF,81.92106666666666,72.8753,78.65746666666666,80.78786666666667,81.2443,78.4167,76.85756666666667,77.46096666666666,78.12259999999999,78.82126666666666,79.3787
2001,MAM,86.52343333333333,76.852,83.90593333333332,83.97883333333334,81.29866666666668,81.36673333333333,76.6452,81.7007,82.46306666666668,86.3875,87.11796666666667
2001,JJA,84.2714,78.00306666666667,81.84276666666666,84.89986666666667,81.35986666666666,79.55113333333334,77.47359999999999,80.65766666666667,80.95986666666666,83.7242,86.23236666666666
2001,SON,80.7568,76.21940000000001,79.23286666666667,81.01766666666667,83.98836666666666,79.16536666666667,77.2079,78.37153333333333,78.5976,80.40306666666667,82.10453333333334
2002,DJF,83.65213333333334,75.16000000000001,78.39896666666667,80.56986666666667,84.16143333333333,76.41236666666667,83.23556666666667,76.11456666666668,77.23053333333333,79.16613333333333,78.12986666666667
2002,MAM,87.46820000000001,77.86356666666667,82.6863,85.38956666666667,87.57723333333333,75.83663333333334,87.6496,76.32459999999999,78.4593,85.30086666666666,80.06356666666666
2002,JJA,86.28653333333334,79.5405,81.28793333333333,82.18893333333334,83.26853333333334,74.30726666666668,84.74573333333333,76.13876666666665,79.91923333333334,83.21636666666667,78.07596666666666
2002,SON,84.7682,77.70036666666667,81.16866666666667,80.71476666666668,80.1434,74.2151,82.26406666666666,75.59946666666667,78.49770000000001,80.13486666666667,76.2268
2003,DJF,80.21903333333334,76.30753333333332,78.57586666666667,82.92083333333333,77.28973333333333,76.1759,83.2894,77.23283333333333,79.45453333333334,77.5613,76.66
2003,MAM,82.53269999999999,80.28179999999999,82.47136666666667,86.01136666666667,80.34466666666667,73.97573333333334,85.93486666666666,81.37133333333333,82.68643333333334,79.0999,80.24856666666666
2003,JJA,81.1695,78.99023333333334,80.9746,82.50036666666666,78.81736666666667,72.93366666666667,85.0105,81.59046666666667,82.536,79.63583333333334,81.26
2003,SON,78.7758,76.997,78.71563333333334,79.66993333333333,76.85333333333334,73.86066666666666,83.837,79.13103333333333,79.70886666666667,78.15429999999999,80.31296666666667
2004,DJF,82.12323333333333,75.61846666666666,77.6747,79.01393333333333,76.18656666666666,82.39713333333333,82.03133333333334,78.11773333333333,79.11253333333333,77.6148,82.37623333333333
2004,MAM,88.41543333333334,75.39706666666666,78.78913333333333,84.47093333333333,80.56673333333333,88.2368,81.77446666666667,80.57683333333334,83.07823333333333,81.4461,84.59733333333332
2004,JJA,83.71663333333333,79.43126666666666,81.5733,82.4166,78.93073333333332,83.75916666666667,79.6621,79.9896,81.54903333333333,79.84396666666667,84.20886666666667
2004,SON,80.3904,77.94926666666667,80.65296666666667,79.6173,76.94716666666666,81.31543333333333,82.01523333333334,77.91963333333332,79.02673333333333,77.70823333333333,82.35243333333334
2005,DJF,78.78320000000001,79.4997,81.20943333333334,78.89946666666667,76.8148,79.79313333333333,83.00566666666667,75.92516666666667,76.00086666666668,78.46153333333332,82.56920000000001
2005,MAM,82.0702,81.8639,85.27636666666666,83.3761,78.3467,83.82256666666666,87.06906666666667,78.3357,75.78956666666666,82.22043333333333,86.1195
2005,JJA,83.34113333333333,80.86399999999999,86.13803333333333,84.20043333333332,82.915,82.77523333333333,83.76400000000001,77.76993333333333,74.7518,85.19603333333333,83.07353333333333
2005,SON,80.96640000000001,80.809,82.07636666666666,81.17746666666666,81.52846666666666,80.23266666666667,81.48203333333333,75.97473333333333,75.05906666666667,81.68236666666667,80.7695
2006,DJF,77.53646666666667,81.906,85.32836666666667,79.08569999999999,79.04486666666666,78.65653333333334,78.2737,76.67663333333333,76.20546666666667,82.1232,78.2454
2006,MAM,78.8245,83.6472,88.03236666666668,81.5933,83.6673,81.99253333333333,80.39256666666667,79.37316666666668,81.1891,86.85883333333334,81.55956666666667
2006,JJA,79.24283333333334,80.65750000000001,84.98806666666667,80.13613333333333,81.65306666666667,83.4347,79.36606666666667,78.2803,82.6617,84.17856666666667,79.79233333333333
2006,SON,77.21826666666668,79.8411,83.03833333333334,77.94873333333334,79.10053333333333,80.77586666666667,77.31786666666666,76.43006666666666,80.26803333333334,81.68036666666667,77.66483333333333
2007,DJF,76.9243,79.55013333333333,82.40876666666666,76.93733333333334,77.58633333333334,77.55919999999999,75.85593333333334,80.911,77.95676666666667,81.48903333333332,75.9252
2007,MAM,83.66396666666667,84.50963333333333,89.19743333333334,78.47676666666666,80.9282,80.07573333333333,79.3695,85.75103333333334,80.90656666666666,87.43256666666666,78.31846666666667
2007,JJA,81.66033333333333,81.35586666666667,89.84506666666668,80.23426666666667,81.28536666666668,78.29656666666666,77.93136666666668,87.18996666666668,79.82396666666666,83.79623333333333,79.34546666666667
2007,SON,79.29923333333333,79.22496666666666,85.03373333333333,78.87153333333333,78.842,76.41359999999999,76.11313333333334,84.61649999999999,77.69133333333333,80.44403333333334,77.53783333333332
2008,DJF,77.37866666666667,76.59656666666666,81.9489,79.65906666666666,77.92476666666666,77.2546,78.77333333333333,80.4677,77.01003333333334,79.02300000000001,76.8908
2008,MAM,80.5548,77.90306666666667,87.78943333333332,84.3446,83.95793333333334,80.17166666666667,83.48883333333333,83.13393333333333,79.81349999999999,83.21523333333333,80.6762
2008,JJA,80.05573333333332,78.84503333333333,87.84173333333332,83.75580000000001,82.82186666666666,79.4772,82.64323333333333,81.7742,79.59836666666666,82.75776666666667,81.1318
2008,SON,77.88683333333334,76.91316666666667,82.98206666666667,80.4309,79.87633333333333,78.89083333333333,80.07606666666668,81.42736666666667,77.62616666666666,79.85133333333333,78.73856666666666
2009,DJF,76.53366666666666,76.89110000000001,79.9389,80.93566666666666,79.10216666666666,76.32243333333334,79.61710000000001,80.99683333333333,79.90403333333333,76.58043333333333,77.76233333333333
2009,MAM,80.44279999999999,80.01833333333333,84.4801,87.15696666666668,85.93520000000001,76.60473333333333,83.21016666666667,86.00786666666666,83.4751,78.67083333333333,82.22656666666667
2009,JJA,79.48143333333333,82.09823333333333,81.69863333333333,82.8592,83.1581,74.9729,83.18883333333333,83.19216666666667,81.0088,77.64273333333334,81.39443333333334
2009,SON,77.43813333333334,80.29283333333333,79.13266666666668,79.89333333333333,80.10566666666666,73.54653333333333,80.84443333333333,80.767,81.02763333333333,75.8602,78.92383333333333
2010,DJF,81.41753333333334,77.02133333333333,78.7882,78.04026666666667,82.2642,72.40883333333333,78.14613333333334,78.7894,83.80213333333334,75.14473333333333,77.0948
2010,MAM,86.4613,77.80523333333333,81.71033333333334,81.35713333333332,86.47623333333333,74.25776666666667,80.43526666666666,84.2802,86.37143333333334,79.805,80.2172
2010,JJA,83.34313333333334,76.24706666666667,80.89983333333333,81.71706666666667,83.31356666666666,73.8629,78.66863333333333,82.85996666666666,84.57966666666665,78.61903333333333,80.70963333333333
2010,SON,81.05563333333333,74.89303333333334,80.31150000000001,79.56613333333333,80.33823333333333,72.91646666666666,76.8468,79.90053333333334,82.03133333333334,76.68633333333332,78.41083333333334
2011,DJF,84.21646666666668,75.13963333333334,79.68996666666668,78.3924,76.17129999999999,74.1743,76.80413333333333,78.1989,81.90820000000001,76.2402,78.47043333333333
2011,MAM,87.76803333333334,76.36686666666667,83.48263333333334,79.0926,76.56670000000001,79.01586666666667,79.29466666666667,83.5768,86.7376,79.53993333333334,82.38996666666667
2011,JJA,82.627,77.81846666666667,83.34283333333333,80.6755,75.19613333333334,78.28773333333334,77.9575,82.41783333333333,84.61666666666667,78.38273333333333,83.54963333333333
2011,SON,81.8505,77.09486666666668,80.45576666666666,79.76503333333334,73.7436,77.1655,76.58363333333334,79.61756666666666,81.40066666666667,76.48766666666667,81.50586666666668
2012,DJF,80.25183333333332,76.42386666666667,79.6189,84.25663333333334,73.35916666666667,75.57216666666666,78.6741,77.3008,80.9955,75.64816666666667,79.18003333333333
2012,MAM,82.86916666666667,78.76866666666666,82.14473333333333,91.23093333333333,77.28586666666666,77.22496666666667,84.2235,79.5865,83.35086666666668,80.45813333333334,79.86526666666667
2012,JJA,82.05543333333334,80.77603333333333,82.9479,87.95936666666667,77.52146666666665,77.49496666666666,81.2341,79.52766666666666,81.227,79.85106666666667,83.08913333333334
2012,SON,79.57176666666668,78.50656666666667,82.38816666666666,82.30993333333333,75.7571,75.7373,78.87,77.92576666666666,79.21313333333335,77.71640000000001,80.06613333333333
2013,DJF,78.72416666666668,76.85736666666666,82.62830000000001,82.59173333333332,74.9275,74.38726666666666,77.5967,76.92186666666667,78.3622,76.00856666666667,79.61200000000001
2013,MAM,82.5763,79.45396666666666,85.92463333333335,85.70193333333333,77.52153333333332,76.45103333333334,81.22133333333333,78.8347,82.88163333333334,79.60166666666667,82.77043333333334
2013,JJA,81.63306666666666,79.0321,82.26166666666667,82.21953333333333,77.28703333333334,76.50866666666667,82.24113333333334,79.5303,82.8689,79.87556666666667,82.53633333333333
2013,SON,79.19723333333333,78.2051,79.6412,79.4874,77.1804,74.8977,79.52556666666668,78.19926666666667,79.91796666666666,77.73386666666666,79.78003333333334
