Year,Season,Mean_After_Outlier_Removal
2041,MAM,82.16819696969696
2042,MAM,84.1145515151515
2043,MAM,83.03406
2044,MAM,83.74002592592593
2045,MAM,82.25780303030302
2046,MAM,83.94530303030304
2047,MAM,81.93531212121212
2048,MAM,83.24513636363636
2049,MAM,81.38117272727273
2050,MAM,82.21647272727272
2051,MAM,81.04812424242424
2052,MAM,83.37451212121212
2053,MAM,83.0013090909091
2054,MAM,83.94385151515151
2055,MAM,80.35761
2056,MAM,83.23619393939394
2057,MAM,83.23523333333333
2058,MAM,83.1004696969697
2059,MAM,83.43362333333334
2060,MAM,82.0102606060606
2061,MAM,83.09730909090909
2062,MAM,81.4895222222222
2063,MAM,83.12202727272728
2064,MAM,81.5039
2065,MAM,80.51079333333334
2066,MAM,82.57391212121212
2067,MAM,82.79632222222222
2068,MAM,83.09689666666667
2069,MAM,82.17933030303031
2070,MAM,84.63654242424242
2071,MAM,83.79662121212121
2072,MAM,85.60749
2073,MAM,85.04256666666667
2074,MAM,84.39807272727273
2075,MAM,83.08166060606061
2076,MAM,83.91366363636364
2077,MAM,83.19094666666668
2078,MAM,82.11252727272728
2079,MAM,81.46803333333332
2080,MAM,81.83609696969697
2000,JJA,80.69369333333331
2001,JJA,81.72507272727272
2002,JJA,80.81597878787879
2003,JJA,81.24848666666668
2004,JJA,81.37102424242424
2005,JJA,83.58526666666666
2006,JJA,81.30829696969697
2007,JJA,81.09194000000001
2008,JJA,81.2861
2009,JJA,81.57225666666668
2010,JJA,80.43822727272727
2011,JJA,80.44291212121213
2012,JJA,80.57247666666667
2013,JJA,80.54493636363637
2014,JJA,82.83460000000001
2015,JJA,81.11503333333333
2016,JJA,79.78321515151514
2017,JJA,80.11856363636365
2018,JJA,81.4731
2019,JJA,82.75734242424242
2020,JJA,80.76335757575758
2021,JJA,80.87839696969696
2022,JJA,83.20602727272727
2023,JJA,82.16328484848485
2024,JJA,81.58110606060606
2025,JJA,80.85442727272728
2026,JJA,78.77475757575758
2027,JJA,81.8162515151515
2028,JJA,81.57606666666668
2029,JJA,82.1121606060606
2030,JJA,81.60177575757577
2031,JJA,80.14397272727273
2032,JJA,82.76953333333333
2033,JJA,81.4640696969697
2034,JJA,81.35750666666667
2035,JJA,80.87321818181817
2036,JJA,80.52018484848485
2037,JJA,82.216975
2038,JJA,81.44813939393939
2039,JJA,81.85453333333334
2040,JJA,81.20391515151515
2041,JJA,81.2829393939394
2042,JJA,81.79269696969699
2043,JJA,82.20475
2044,JJA,82.41192592592593
2045,JJA,81.5504121212121
2046,JJA,82.32082121212122
2047,JJA,81.34825151515152
2048,JJA,82.45936363636362
2049,JJA,81.7640303030303
2050,JJA,80.7631787878788
2051,JJA,80.25189393939395
2052,JJA,82.13378484848485
2053,JJA,81.77970606060607
2054,JJA,82.44667878787878
2055,JJA,80.13361212121211
2056,JJA,81.72250606060607
2057,JJA,82.28033333333333
2058,JJA,82.00281666666667
2059,JJA,82.10605666666666
2060,JJA,82.60577666666667
2061,JJA,81.33046666666665
2062,JJA,81.3917303030303
2063,JJA,81.77910606060607
2064,JJA,81.11712424242424
2065,JJA,80.9372
2066,JJA,81.51868787878787
2067,JJA,81.9256606060606
2068,JJA,81.31336333333333
2069,JJA,81.7433090909091
2070,JJA,82.82912424242424
2071,JJA,82.30064545454546
2072,JJA,82.69461
2073,JJA,83.70196666666666
2074,JJA,82.31079259259258
2075,JJA,81.34008181818183
2076,JJA,82.19768787878787
2077,JJA,82.06136666666667
2078,JJA,80.53980303030303
2079,JJA,81.57396333333332
2080,JJA,80.42819696969697
2000,SON,78.69011
2001,SON,79.73319090909091
2002,SON,79.22121818181819
2003,SON,78.70209629629629
2004,SON,79.62680000000002
2005,SON,81.19158518518518
2006,SON,79.20763636363637
2007,SON,78.27085185185186
2008,SON,79.5181484848485
2009,SON,79.42857333333333
2010,SON,78.45062121212122
2011,SON,78.69733333333333
2012,SON,78.91475151515152
2013,SON,78.88680333333333
2014,SON,79.57107083333332
2015,SON,78.9963909090909
2016,SON,77.6586484848485
2017,SON,78.73633939393939
2018,SON,79.75579
2019,SON,80.17496969696971
2020,SON,78.61223939393939
2021,SON,78.85086666666668
2022,SON,80.60474242424245
2023,SON,80.09195151515152
2024,SON,79.60456666666666
2025,SON,78.82966363636363
2026,SON,77.91408484848485
2027,SON,79.58243333333336
2028,SON,79.54067878787879
2029,SON,80.0237484848485
2030,SON,79.26584242424242
2031,SON,78.33778787878788
2032,SON,80.26979666666666
2033,SON,79.37546363636363
2034,SON,79.15968333333333
2035,SON,78.81070606060607
2036,SON,78.92862121212121
2037,SON,79.9129125
2038,SON,80.16185999999999
2039,SON,79.44983333333333
2040,SON,79.00166363636363
2041,SON,79.67127575757576
2042,SON,80.24206999999998
2043,SON,80.11553333333333
2044,SON,80.11690000000002
2045,SON,79.02447000000001
2046,SON,79.96519393939394
2047,SON,79.77133333333333
2048,SON,79.97137916666667
2049,SON,80.46540303030305
2050,SON,78.72049696969697
2051,SON,78.34529696969696
2052,SON,79.84567575757576
2053,SON,79.58264848484849
2054,SON,80.21426666666667
2055,SON,78.68365454545454
2056,SON,79.59593333333333
2057,SON,79.55385757575759
2058,SON,80.33471818181818
2059,SON,80.48081818181818
2060,SON,80.05895333333333
2061,SON,80.14554333333332
2062,SON,79.77916060606061
2063,SON,79.33359696969696
2064,SON,79.71373750000001
2065,SON,79.0210696969697
2066,SON,80.00183636363636
2067,SON,79.67777575757574
2068,SON,79.11734242424244
2069,SON,80.11047
2070,SON,80.78510303030303
2071,SON,80.88606666666666
2072,SON,81.01203333333333
2073,SON,81.98213333333334
2074,SON,80.80098666666666
2075,SON,79.2454212121212
2076,SON,80.21426363636364
2077,SON,80.09703636363635
2078,SON,78.66672727272727
2079,SON,78.72569696969695
2080,SON,78.6749303030303
